Fitting statistics for a 2D DOSY experiment  
Pure exponential fitting (Stejskal-Tanner equation)  
Monoexpoential fitting  


*******Fit Summary*******
Frequency   Exp. Ampl   Fit. Ampl1  error       Diff coef1  error       
-0.60023    0.00005     0.00004     0.00001     91.20440    33.36914    
-0.59693    0.00005     0.00005     0.00000     153.94203   18.67974    
-0.59583    0.00005     0.00005     0.00000     116.04392   20.36320    
-0.59271    0.00006     0.00005     0.00000     110.98612   18.66391    
-0.58794    0.00006     0.00005     0.00000     118.92913   13.96693    
-0.58226    0.00005     0.00005     0.00000     100.97407   19.70346    
-0.57932    0.00005     0.00005     0.00000     109.61938   18.72919    
-0.57767    0.00006     0.00005     0.00001     108.54519   25.55135    
-0.57657    0.00006     0.00005     0.00000     106.48263   20.53271    
-0.57327    0.00005     0.00005     0.00000     110.05048   12.40294    
-0.57052    0.00005     0.00006     0.00000     123.18605   17.98474    
-0.56924    0.00005     0.00005     0.00000     108.31581   21.86168    
-0.56484    0.00005     0.00005     0.00000     106.67380   20.42204    
-0.56319    0.00005     0.00005     0.00000     116.15547   16.74184    
-0.55861    0.00005     0.00005     0.00000     114.95583   18.86481    
-0.55512    0.00005     0.00005     0.00000     101.86656   22.39168    
-0.55274    0.00006     0.00005     0.00000     104.49172   18.10290    
-0.55127    0.00006     0.00006     0.00000     130.71004   16.29662    
-0.54907    0.00006     0.00006     0.00000     120.85094   16.27498    
-0.54687    0.00005     0.00005     0.00000     108.34797   21.06113    
-0.54064    0.00006     0.00005     0.00000     109.22481   15.63386    
-0.53624    0.00006     0.00005     0.00000     114.50189   18.70625    
-0.52817    0.00006     0.00006     0.00000     166.38385   16.33534    
-0.52615    0.00006     0.00006     0.00000     113.01536   15.56786    
-0.52010    0.00006     0.00005     0.00000     108.70309   23.17109    
-0.51625    0.00006     0.00005     0.00000     108.67961   21.00726    
-0.51258    0.00006     0.00006     0.00000     123.60079   17.43654    
-0.51167    0.00006     0.00005     0.00000     101.31052   22.24966    
-0.50855    0.00006     0.00005     0.00000     97.74589    21.61910    
-0.50690    0.00005     0.00005     0.00001     91.79703    28.78091    
-0.50378    0.00005     0.00005     0.00000     118.47480   16.41066    
-0.49847    0.00006     0.00005     0.00001     108.29634   33.60464    
-0.49627    0.00005     0.00005     0.00000     96.77438    17.76360    
-0.49352    0.00006     0.00005     0.00000     91.77629    16.91585    
-0.49003    0.00005     0.00005     0.00000     113.67860   24.00148    
-0.48765    0.00005     0.00005     0.00000     106.98119   25.27896    
-0.48618    0.00005     0.00005     0.00000     101.15039   23.16999    
-0.48288    0.00006     0.00005     0.00000     112.98788   19.72938    
-0.48031    0.00006     0.00006     0.00000     160.94835   14.60021    
-0.47591    0.00006     0.00005     0.00000     110.26225   23.19403    
-0.47133    0.00006     0.00005     0.00000     107.37870   15.44480    
-0.46840    0.00005     0.00006     0.00000     137.89648   9.25855     
-0.46473    0.00006     0.00005     0.00000     140.91300   30.61064    
-0.46106    0.00005     0.00005     0.00000     95.13284    19.28061    
-0.45941    0.00006     0.00005     0.00000     100.95602   17.83030    
-0.45629    0.00005     0.00005     0.00000     101.06742   21.31843    
-0.45519    0.00005     0.00005     0.00001     92.73417    22.92389    
-0.45244    0.00005     0.00005     0.00000     113.63086   18.63565    
-0.44914    0.00006     0.00006     0.00000     114.26215   10.56898    
-0.44603    0.00006     0.00006     0.00000     125.82120   13.59467    
-0.44474    0.00006     0.00005     0.00000     118.31327   19.76962    
-0.44328    0.00006     0.00006     0.00000     139.14141   7.25713     
-0.44181    0.00006     0.00006     0.00000     137.48831   18.05037    
-0.43741    0.00006     0.00005     0.00000     102.22499   22.00566    
-0.43539    0.00006     0.00005     0.00000     125.12000   15.79282    
-0.43484    0.00006     0.00005     0.00000     113.29995   17.89943    
-0.43319    0.00005     0.00005     0.00001     108.49413   26.93471    
-0.43136    0.00005     0.00005     0.00001     101.03068   26.71180    
-0.42971    0.00005     0.00005     0.00000     119.49007   14.11571    
-0.42751    0.00006     0.00005     0.00000     102.70096   17.47216    
-0.42384    0.00006     0.00006     0.00000     111.30255   20.04284    
-0.42109    0.00006     0.00005     0.00000     126.03779   11.27458    
-0.41944    0.00005     0.00005     0.00000     94.79870    13.83145    
-0.41632    0.00006     0.00005     0.00000     107.20692   20.11841    
-0.41229    0.00005     0.00005     0.00000     135.12120   11.83052    
-0.40917    0.00006     0.00005     0.00000     97.58368    19.21826    
-0.40587    0.00006     0.00005     0.00000     113.03167   16.46631    
-0.40459    0.00006     0.00005     0.00000     122.40333   18.43010    
-0.40147    0.00006     0.00005     0.00000     117.32710   23.10945    
-0.39872    0.00006     0.00005     0.00000     111.32616   20.51626    
-0.39597    0.00006     0.00005     0.00000     99.74963    16.85633    
-0.38992    0.00006     0.00005     0.00000     110.64767   24.79378    
-0.38845    0.00005     0.00005     0.00000     98.27652    14.06991    
-0.38295    0.00006     0.00006     0.00000     135.21626   16.75106    
-0.37965    0.00006     0.00005     0.00001     89.60054    24.41768    
-0.37635    0.00005     0.00005     0.00001     102.81632   26.79640    
-0.37360    0.00006     0.00005     0.00000     119.33243   19.96286    
-0.37049    0.00005     0.00005     0.00000     127.73979   15.88452    
-0.36939    0.00005     0.00005     0.00000     126.61122   19.87888    
-0.36645    0.00006     0.00005     0.00000     112.49455   16.34214    
-0.36187    0.00006     0.00006     0.00000     119.15016   18.60908    
-0.35875    0.00006     0.00005     0.00000     112.07663   16.34433    
-0.35398    0.00006     0.00005     0.00001     115.58787   25.86478    
-0.35160    0.00005     0.00005     0.00000     100.83871   19.28969    
-0.34977    0.00005     0.00005     0.00000     128.46748   14.11463    
-0.34848    0.00005     0.00005     0.00000     99.26693    20.32869    
-0.34592    0.00005     0.00006     0.00000     136.05797   7.07370     
-0.34225    0.00006     0.00005     0.00000     102.88363   15.28060    
-0.34152    0.00006     0.00005     0.00000     117.32806   16.88435    
-0.33785    0.00006     0.00006     0.00000     139.49574   13.96538    
-0.33363    0.00005     0.00005     0.00000     96.29270    19.03823    
-0.33088    0.00006     0.00005     0.00000     104.62244   17.63329    
-0.32905    0.00006     0.00005     0.00000     101.86549   20.28326    
-0.32795    0.00006     0.00005     0.00000     91.62184    19.73136    
-0.32171    0.00005     0.00005     0.00001     90.35913    22.16021    
-0.32043    0.00005     0.00005     0.00001     91.79288    28.91402    
-0.31896    0.00005     0.00005     0.00001     85.01705    25.10726    
-0.31621    0.00006     0.00005     0.00000     101.06556   20.93967    
-0.31310    0.00005     0.00005     0.00000     93.38770    15.72313    
-0.31163    0.00005     0.00005     0.00000     83.11425    12.98545    
-0.30998    0.00005     0.00005     0.00000     76.27585    16.17535    
-0.30833    0.00005     0.00005     0.00000     104.91224   22.17568    
-0.30668    0.00005     0.00005     0.00000     106.44837   23.09511    
-0.30118    0.00006     0.00006     0.00000     129.89756   18.23226    
-0.29788    0.00006     0.00006     0.00000     105.61196   15.98983    
-0.29531    0.00005     0.00005     0.00000     112.39612   16.99150    
-0.29348    0.00005     0.00005     0.00000     114.46906   17.60574    
-0.29091    0.00005     0.00005     0.00000     92.41551    15.45567    
-0.28798    0.00006     0.00005     0.00000     87.49471    13.53812    
-0.28303    0.00005     0.00005     0.00000     90.89120    15.19506    
-0.28174    0.00005     0.00005     0.00001     82.23538    22.62130    
-0.28046    0.00006     0.00005     0.00000     101.56536   21.56797    
-0.27753    0.00005     0.00005     0.00000     88.86315    16.55051    
-0.27459    0.00006     0.00005     0.00001     89.53819    24.13955    
-0.27258    0.00006     0.00005     0.00000     85.35222    18.70331    
-0.26836    0.00006     0.00005     0.00001     88.85776    20.62437    
-0.26561    0.00005     0.00005     0.00000     91.18296    12.73445    
-0.26378    0.00006     0.00005     0.00000     102.49207   8.15981     
-0.25937    0.00006     0.00005     0.00000     95.11793    19.14840    
-0.25681    0.00006     0.00005     0.00000     96.76690    19.33212    
-0.25241    0.00006     0.00005     0.00000     101.93094   15.23510    
-0.25076    0.00006     0.00005     0.00000     121.94534   11.38461    
-0.24746    0.00005     0.00005     0.00000     115.49369   14.71726    
-0.24654    0.00005     0.00005     0.00000     116.30085   11.00291    
-0.24342    0.00005     0.00005     0.00000     118.46452   4.48426     
-0.24177    0.00005     0.00005     0.00000     111.96061   8.58615     
-0.24031    0.00005     0.00006     0.00000     111.55861   12.30542    
-0.23609    0.00005     0.00005     0.00000     116.20187   17.95488    
-0.23279    0.00006     0.00005     0.00000     88.46391    18.79952    
-0.23169    0.00006     0.00006     0.00000     113.86395   15.05154    
-0.22729    0.00006     0.00006     0.00000     119.60557   11.40874    
-0.22087    0.00005     0.00005     0.00000     72.19820    14.49865    
-0.21959    0.00005     0.00005     0.00000     91.06493    15.19156    
-0.21684    0.00005     0.00005     0.00000     101.11934   10.98611    
-0.21482    0.00005     0.00005     0.00000     117.58756   7.69947     
-0.21390    0.00005     0.00005     0.00000     102.47080   11.99030    
-0.21097    0.00006     0.00005     0.00000     84.94872    9.34252     
-0.20895    0.00005     0.00005     0.00000     110.46786   10.83955    
-0.20620    0.00005     0.00005     0.00000     107.42053   16.48891    
-0.20492    0.00005     0.00005     0.00000     91.23625    12.73314    
-0.20217    0.00005     0.00006     0.00000     119.66721   8.21766     
-0.20015    0.00005     0.00005     0.00000     89.04470    13.41433    
-0.19924    0.00005     0.00005     0.00000     93.38884    13.54952    
-0.19722    0.00005     0.00005     0.00000     92.14791    17.47427    
-0.19575    0.00005     0.00005     0.00000     98.98929    17.95226    
-0.19447    0.00005     0.00005     0.00000     81.60223    18.21632    
-0.18988    0.00006     0.00005     0.00000     104.13662   16.96441    
-0.18860    0.00006     0.00005     0.00000     95.59885    18.18871    
-0.18713    0.00005     0.00005     0.00000     124.79474   15.59914    
-0.18512    0.00006     0.00005     0.00000     108.12270   22.14152    
-0.18108    0.00005     0.00005     0.00000     96.23483    20.57015    
-0.17980    0.00005     0.00005     0.00000     85.02310    18.00261    
-0.17797    0.00005     0.00005     0.00000     71.70519    12.77576    
-0.17687    0.00006     0.00005     0.00000     79.95102    15.13367    
-0.17540    0.00005     0.00005     0.00000     100.85681   3.53710     
-0.17393    0.00005     0.00005     0.00000     94.43361    13.65013    
-0.17247    0.00005     0.00005     0.00000     76.03057    14.96669    
-0.16935    0.00005     0.00005     0.00000     80.55758    12.05987    
-0.16788    0.00005     0.00005     0.00000     99.18161    13.54063    
-0.16477    0.00005     0.00005     0.00000     89.23409    12.69490    
-0.16367    0.00005     0.00005     0.00000     100.99859   17.86545    
-0.16183    0.00005     0.00005     0.00000     88.07633    13.34347    
-0.16036    0.00005     0.00005     0.00000     88.39098    12.04555    
-0.15890    0.00005     0.00005     0.00000     77.82037    13.62111    
-0.15743    0.00005     0.00005     0.00000     88.18072    9.57809     
-0.15596    0.00006     0.00005     0.00000     88.19808    12.91217    
-0.15450    0.00005     0.00005     0.00000     91.90956    11.55155    
-0.15285    0.00006     0.00005     0.00000     81.73098    10.61150    
-0.15156    0.00006     0.00005     0.00000     80.65911    9.01775     
-0.15010    0.00006     0.00006     0.00000     114.87795   13.77179    
-0.14863    0.00005     0.00005     0.00000     87.61785    12.03099    
-0.14698    0.00006     0.00006     0.00000     80.45523    9.61251     
-0.14441    0.00005     0.00006     0.00000     100.48500   13.46644    
-0.14258    0.00005     0.00005     0.00000     73.93423    12.17499    
-0.14111    0.00005     0.00005     0.00000     64.21422    11.50880    
-0.13965    0.00005     0.00005     0.00000     87.87465    8.00957     
-0.13836    0.00005     0.00005     0.00000     84.52058    4.73390     
-0.13635    0.00006     0.00005     0.00000     100.53505   15.49935    
-0.13561    0.00006     0.00005     0.00000     88.24610    16.87252    
-0.13378    0.00005     0.00005     0.00000     87.37893    6.75134     
-0.13231    0.00005     0.00005     0.00000     70.81012    4.27914     
-0.13066    0.00006     0.00005     0.00000     76.00146    12.87416    
-0.12938    0.00005     0.00005     0.00000     71.77078    9.72861     
-0.12791    0.00005     0.00005     0.00000     81.89473    6.52714     
-0.12644    0.00005     0.00005     0.00000     80.15308    7.34964     
-0.12479    0.00006     0.00005     0.00000     84.17850    11.59933    
-0.12204    0.00005     0.00005     0.00000     72.69761    10.08753    
-0.12058    0.00005     0.00005     0.00000     71.67710    10.31660    
-0.11893    0.00005     0.00005     0.00000     76.83397    8.75647     
-0.11764    0.00005     0.00005     0.00000     78.98346    6.63741     
-0.11581    0.00005     0.00005     0.00000     75.06376    10.71950    
-0.11453    0.00006     0.00005     0.00000     74.87781    13.51357    
-0.11306    0.00006     0.00005     0.00000     69.78831    7.77783     
-0.11178    0.00005     0.00005     0.00000     71.46121    7.81166     
-0.11013    0.00005     0.00005     0.00000     66.77761    7.34319     
-0.10866    0.00005     0.00005     0.00000     64.94132    9.73898     
-0.10554    0.00006     0.00006     0.00000     85.21518    10.44351    
-0.10059    0.00043     0.00043     0.00000     70.88940    0.83785     
-0.09527    0.00006     0.00006     0.00000     71.28404    9.15949     
-0.09234    0.00005     0.00005     0.00000     80.36906    11.27146    
-0.09087    0.00005     0.00006     0.00000     80.24931    7.28019     
-0.08941    0.00005     0.00005     0.00000     77.75235    7.30673     
-0.08776    0.00005     0.00005     0.00000     63.63461    9.53606     
-0.08647    0.00006     0.00005     0.00000     72.44606    13.91423    
-0.08501    0.00006     0.00005     0.00000     72.53369    13.27217    
-0.08354    0.00005     0.00005     0.00000     58.10711    7.24235     
-0.08189    0.00005     0.00005     0.00000     61.15103    6.68276     
-0.08042    0.00005     0.00005     0.00000     62.64240    11.73819    
-0.07914    0.00005     0.00005     0.00000     57.71461    10.80290    
-0.07749    0.00005     0.00005     0.00000     55.24449    5.32209     
-0.07602    0.00005     0.00005     0.00000     52.24028    6.93581     
-0.07456    0.00005     0.00005     0.00000     58.43684    8.08970     
-0.07309    0.00005     0.00005     0.00000     62.46050    5.82659     
-0.07162    0.00005     0.00005     0.00000     61.06594    7.19436     
-0.06997    0.00005     0.00005     0.00000     54.17322    7.02155     
-0.06869    0.00005     0.00005     0.00000     49.51760    4.43753     
-0.06704    0.00005     0.00005     0.00000     61.90040    7.53989     
-0.06576    0.00005     0.00005     0.00000     52.96635    4.69496     
-0.06447    0.00005     0.00005     0.00000     44.63546    4.42851     
-0.06282    0.00004     0.00005     0.00000     42.50505    5.18790     
-0.06117    0.00005     0.00005     0.00000     46.80988    5.37986     
-0.05970    0.00004     0.00005     0.00000     53.14735    8.19774     
-0.05824    0.00005     0.00005     0.00000     55.87970    9.65557     
-0.05677    0.00005     0.00005     0.00000     54.71655    4.08177     
-0.05549    0.00005     0.00005     0.00000     46.02529    5.25683     
-0.05384    0.00005     0.00005     0.00000     47.69962    5.57529     
-0.05237    0.00005     0.00005     0.00000     46.45513    5.91492     
-0.05090    0.00005     0.00005     0.00000     45.34413    3.93638     
