Fitting statistics for a 2D DOSY experiment  
Pure exponential fitting (Stejskal-Tanner equation)  
Monoexpoential fitting  


*******Fit Summary*******
Frequency   Exp. Ampl   Fit. Ampl1  error       Diff coef1  error       
-0.19427    0.00007     0.00006     0.00001     84.57302    23.68948    
-0.19134    0.00006     0.00006     0.00000     79.91033    11.00622    
-0.18950    0.00006     0.00006     0.00000     82.10191    17.01599    
-0.18859    0.00006     0.00006     0.00000     82.57977    14.69107    
-0.18547    0.00005     0.00005     0.00000     70.40797    15.08957    
-0.18235    0.00007     0.00006     0.00001     84.84557    20.58998    
-0.18107    0.00007     0.00006     0.00001     82.25995    18.96571    
-0.17960    0.00007     0.00006     0.00001     87.54498    19.11136    
-0.17795    0.00007     0.00006     0.00001     110.34148   22.77307    
-0.17502    0.00006     0.00006     0.00000     103.88264   8.98865     
-0.17374    0.00006     0.00006     0.00000     111.37322   11.21691    
-0.17190    0.00006     0.00006     0.00000     91.13771    7.54389     
-0.17062    0.00006     0.00006     0.00000     98.91331    10.68573    
-0.16879    0.00007     0.00006     0.00000     87.47751    17.97143    
-0.16805    0.00007     0.00006     0.00001     83.22175    18.23762    
-0.16622    0.00006     0.00006     0.00000     79.85438    10.07770    
-0.16310    0.00006     0.00006     0.00000     92.48631    14.99331    
-0.16200    0.00006     0.00006     0.00000     83.89955    13.92114    
-0.16035    0.00006     0.00006     0.00000     89.87245    17.84800    
-0.15888    0.00006     0.00006     0.00000     93.56044    6.44694     
-0.15723    0.00006     0.00006     0.00000     80.70875    8.22950     
-0.15558    0.00006     0.00006     0.00000     81.62377    11.76080    
-0.15430    0.00006     0.00006     0.00000     86.27893    13.95060    
-0.15302    0.00006     0.00006     0.00000     105.02113   14.30825    
-0.15008    0.00006     0.00006     0.00000     90.16834    11.51562    
-0.14825    0.00006     0.00006     0.00000     110.72819   9.94265     
-0.14715    0.00006     0.00006     0.00000     101.96536   13.79486    
-0.14532    0.00006     0.00006     0.00000     85.31466    9.24777     
-0.14403    0.00006     0.00006     0.00000     80.46061    10.33548    
-0.14257    0.00006     0.00006     0.00000     83.05472    9.51127     
-0.13945    0.00006     0.00006     0.00001     66.13853    14.34227    
-0.13817    0.00006     0.00006     0.00000     79.65849    12.07647    
-0.13670    0.00006     0.00006     0.00000     78.97664    7.85273     
-0.13505    0.00006     0.00006     0.00000     87.91038    17.55918    
-0.13358    0.00006     0.00005     0.00000     72.73866    13.06296    
-0.13212    0.00006     0.00006     0.00000     93.81288    15.03608    
-0.13047    0.00007     0.00006     0.00000     84.69881    15.18209    
-0.12937    0.00007     0.00006     0.00000     88.98565    14.92728    
-0.12753    0.00006     0.00006     0.00000     90.44068    16.39778    
-0.12625    0.00006     0.00006     0.00000     73.41829    13.21743    
-0.12478    0.00006     0.00006     0.00000     80.11312    12.09145    
-0.12313    0.00006     0.00006     0.00000     96.20508    12.62720    
-0.12166    0.00006     0.00006     0.00000     84.04934    12.51388    
-0.12056    0.00006     0.00006     0.00000     106.88420   9.68561     
-0.11873    0.00006     0.00006     0.00000     71.29190    8.28281     
-0.11745    0.00006     0.00006     0.00001     120.61638   28.17725    
-0.11580    0.00006     0.00006     0.00000     86.77647    9.64082     
-0.11433    0.00006     0.00006     0.00000     76.07985    12.71711    
-0.11286    0.00006     0.00006     0.00000     75.49684    12.29760    
-0.11140    0.00006     0.00006     0.00000     72.40275    7.54983     
-0.10993    0.00006     0.00006     0.00000     78.41667    10.41851    
-0.10810    0.00006     0.00006     0.00000     73.71520    15.11409    
-0.10681    0.00007     0.00007     0.00000     71.63901    7.66879     
-0.10571    0.00007     0.00007     0.00000     63.43569    7.10393     
-0.10040    0.00046     0.00046     0.00000     71.26495    1.14634     
-0.09508    0.00008     0.00007     0.00000     79.86563    9.66259     
-0.09233    0.00006     0.00006     0.00000     98.03749    11.84807    
